,PIR_364mg.kg_5d_NN_OG_Rep1,PIR_364mg.kg_5d_NN_OG_Rep2,PIR_364mg.kg_5d_NN_OG_Rep3,Control_0_5d_NN_OG_Rep1,Control_0_5d_NN_OG_Rep6,Control_0_5d_NN_OG_Rep3
ENSRNOG00000000490,587.96,538.73,578.21,1310.85,1231.1,903.32
ENSRNOG00000000491,1,2,1,4,3,4
ENSRNOG00000000493,375.07,379.44,279.09,751.3,662.45,572.61
ENSRNOG00000000495,139,109,72,318,308,226
ENSRNOG00000000498,166,157,100,662,670,417
ENSRNOG00000000499,0,0,0,1,0,0
ENSRNOG00000000500,1,2,3,15,30,8
ENSRNOG00000000501,199,219,154,504,563,413
ENSRNOG00000000502,5,4,5,33,26,19
ENSRNOG00000000503,112,119,83,511,2247,1646
ENSRNOG00000000504,143,138,109,354,378,275
ENSRNOG00000000505,2204.59,2313.04,2342.24,4487.1,4066.83,2916.23
ENSRNOG00000000506,163.09,175.29,113.36,470.98,447.19,294.47
ENSRNOG00000000507,0,0,0,0,0,0
ENSRNOG00000000508,0,0,0,0,0,0
ENSRNOG00000000510,0,0,0,0,0,0
ENSRNOG00000000511,296,353,284,636,615,531
ENSRNOG00000000512,265,386,218,1390,650,442
ENSRNOG00000000513,1382,1178,1125,5473,5312,3219
ENSRNOG00000000515,18,6,9,14,16,8
ENSRNOG00000000516,0,0,0,0,0,0
ENSRNOG00000000517,84,79,93,305,254,166
ENSRNOG00000000519,466,441,355,1454,1331,1218
ENSRNOG00000000520,1002.84,985.54,852.99,2778.42,2721.14,1949.07
ENSRNOG00000000521,72,156,119,312,1162,779
ENSRNOG00000000522,1,1,0,3,6,1
ENSRNOG00000000523,78,72,81,223,226,164
ENSRNOG00000000524,1235,1270,1109,4840,4249,3815
ENSRNOG00000000525,3,2,2,13,17,8
ENSRNOG00000000527,495,424,364,1763,1490,1077
ENSRNOG00000000528,23,9,31,248,132,96
ENSRNOG00000000529,25,17,16,273,111,84
ENSRNOG00000000531,45,51,23,227,205,96
ENSRNOG00000000532,660,758,634,2699,2516,1847
ENSRNOG00000000536,0,1,0,3,6,1
ENSRNOG00000000540,116,126,100,345,319,250
ENSRNOG00000000541,607,599,511,1684,1742,1412
ENSRNOG00000000542,0,14,1,37,0,3
ENSRNOG00000000543,305,271,252,988,939,733
ENSRNOG00000000546,440,402,409,1005,985,799
ENSRNOG00000000547,66,69,66,132,152,203
ENSRNOG00000000549,511,635,492,1915,1905,1701
ENSRNOG00000000551,253,281,284,748,645,528
ENSRNOG00000000552,48,53,46,214,230,175
ENSRNOG00000000556,0,0,0,0,0,0
ENSRNOG00000000557,2200,2316,2153,8404,8610,6394
ENSRNOG00000000559,0,0,0,0,0,0
ENSRNOG00000000560,85,71,75,278,282,160
ENSRNOG00000000561,1558,1715,1564,3743,2847,2298
ENSRNOG00000000562,19,10,21,160,154,90
ENSRNOG00000000563,21,30,22,71,43,42
ENSRNOG00000000564,0,0,0,0,0,0
ENSRNOG00000000565,721,754,826,4466,4357,3393
ENSRNOG00000000566,2334,2556,1940,6308,6838,5134
ENSRNOG00000000567,328,382,305,217,177,63
ENSRNOG00000000568,59,67,56,388,311,251
ENSRNOG00000000569,45,48,55,451,277,187
ENSRNOG00000000571,8090,7310,7864,28153,21538,15389
ENSRNOG00000000572,4,8,16,29,33,13
ENSRNOG00000000574,1,0,2,0,0,1
ENSRNOG00000000576,108,125,95,287,296,261
ENSRNOG00000000579,102,105,100,576,543,374
ENSRNOG00000000580,0,0,1,0,0,0
ENSRNOG00000000581,360,325,292,1145,1033,803
ENSRNOG00000000582,54,56.36,56.91,138.7,109.75,82.85
ENSRNOG00000000583,152,137,120,597,429,408
ENSRNOG00000000585,641,724,714,1611,1288,1220
ENSRNOG00000000586,206,201,192,704,591,440
ENSRNOG00000000587,120,123,119,227,174,158
ENSRNOG00000000588,170,130,143,422,334,278
ENSRNOG00000000589,37.2,30.47,40.43,359.95,257.28,187.85
ENSRNOG00000000590,1.04,4,3.03,4.03,3.04,1.01
ENSRNOG00000000593,222,260,265,780,537,566
ENSRNOG00000000595,137,119,122,477,355,263
ENSRNOG00000000596,48,57,52,270,217,155
ENSRNOG00000000597,0,0,0,0,1.53,0
ENSRNOG00000000598,30,28,20,112,97.47,61
ENSRNOG00000000599,71,94,65,227,269,198
ENSRNOG00000000604,461,502,404,1598,2185,1098
ENSRNOG00000000605,0,0,0,0,0,0
ENSRNOG00000000606,0,0,0,1,0,1
ENSRNOG00000000607,0,0,0,0,0,0
ENSRNOG00000000609,302,276,210,964,933,655
ENSRNOG00000000610,1340,1243,1132,2285,2220,1793
ENSRNOG00000000611,51,77,46,155,111,118
ENSRNOG00000000613,525,638,559,1079,1029,810
ENSRNOG00000000614,125,63,100,361,337,174
ENSRNOG00000000618,0,0,0,0,0,0
ENSRNOG00000000620,0,0,1,0,0,0
ENSRNOG00000000622,1700.78,1708.65,1459.75,3831.53,3971.51,2954.82
ENSRNOG00000000630,0,1,0,0,0,0
ENSRNOG00000000632,72,35,17,179,188,188
ENSRNOG00000000633,270,452,345,954,1199,971
ENSRNOG00000000634,13,11,12,12,9,12
ENSRNOG00000000635,115,169,131,425,225,224
ENSRNOG00000000636,3,1,1,7,3,2
ENSRNOG00000000638,3,2,2,9,11,16
ENSRNOG00000000639,36,38,33,123,113,65
ENSRNOG00000000640,0,0,0,8,16,3
ENSRNOG00000000641,365,564.56,424,1255.9,2110.62,1306.85
ENSRNOG00000000645,2651,3378,2435,6795,9099,7152
ENSRNOG00000000648,820,875,748,2368,2620,1855
ENSRNOG00000000650,0,0,0,0,0,0
ENSRNOG00000000653,656,698,616,2278,1589,1527
ENSRNOG00000000655,104,83,151,1263,627,530
ENSRNOG00000000657,106,94,79,347,405,253
ENSRNOG00000000658,4037,4758,3600,3745,3462,3147
ENSRNOG00000000661,277,207,182,937,686,477
ENSRNOG00000000662,24,24,18,79,75,74
ENSRNOG00000000663,252,245,216,868,845,632
ENSRNOG00000000664,532,635,368,1033,1086,920
ENSRNOG00000000665,507,559,508,1323,1137,1040
ENSRNOG00000000691,0,0,0,14,3,9
